nama_dataset,nama_video_mentah,jenis_latihan,camera_view,frame_temporal_idx,status_v1,status_v2,transisi,alasan_v2
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,0,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 152.1° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,1,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 157.9° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,2,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 157.5° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,3,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 158.5° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,4,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 158.2° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,5,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 157.3° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,6,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 157.1° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,7,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 156.6° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,8,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 156.4° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,9,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 156.9° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,10,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 156.9° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,11,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 156.1° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,12,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 155.1° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,13,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 156.0° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,14,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 158.0° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,15,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 158.4° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,16,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 158.1° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,17,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 157.8° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,18,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 156.5° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,19,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 155.4° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,20,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 153.4° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,21,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 152.0° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,22,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 148.1° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,23,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 144.1° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,24,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 137.3° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,25,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 130.1° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,26,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 121.6° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,27,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 112.9° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
BenchPress_001,primer_benchpress_frontal_subjek01_rep1.mp4,benchpress,Primer Frontal,28,SALAH,SALAH,unchanged SALAH,"Range of Motion siku tidak memadai (half rep). Sudut siku minimum = 104.8° (threshold ≤ 85.0°, terjadi pada frame 0). Bar tidak diturunkan cukup dekat ke dada."
